instance anchor smt mx
appendicitis.78  2.109  0.042  0.044
appendicitis.79  0.985  0.157  0.051
appendicitis.80  1.485  0.084  0.044
appendicitis.81  1.320  0.032  0.030
appendicitis.82  1.092  0.031  0.036
appendicitis.83  2.593  0.061  0.043
appendicitis.84  0.896  0.087  0.046
appendicitis.85  1.687  0.040  0.046
appendicitis.86  0.939  0.029  0.035
appendicitis.87  2.737  0.070  0.047
appendicitis.88  0.982  0.051  0.034
appendicitis.89  0.992  0.069  0.038
appendicitis.90  1.030  0.049  0.040
appendicitis.91  0.947  0.055  0.048
appendicitis.92  2.103  0.065  0.053
appendicitis.93  0.893  0.032  0.043
appendicitis.94  1.419  0.108  0.052
appendicitis.95  1.121  0.036  0.034
appendicitis.96  1.032  0.062  0.042
appendicitis.97  0.949  0.037  0.039
appendicitis.98  1.084  0.025  0.039
appendicitis.99  1.057  0.049  0.040
appendicitis.100  0.948  0.029  0.039
appendicitis.101  1.147  0.038  0.038
appendicitis.102  1.044  0.048  0.041
appendicitis.103  3.005  0.063  0.039
appendicitis.104  0.987  0.033  0.033
appendicitis.105  1.011  0.052  0.032
biodegradation.0  8.283  0.413  1.305
biodegradation.1  5.943  15.150  1.495
biodegradation.2  8.720  31.428  1.589
biodegradation.3  6.326  3.376  1.276
biodegradation.4  9.587  0.573  1.017
biodegradation.5  7.863  4.024  1.232
biodegradation.6  6.906  5.036  1.383
biodegradation.7  5.176  14.262  1.591
biodegradation.8  6.502  2.862  1.274
biodegradation.9  9.517  2.546  1.460
biodegradation.10  5.866  11.136  1.732
biodegradation.11  6.802  7.737  1.500
biodegradation.12  7.545  3.274  1.456
biodegradation.13  9.313  1.252  1.443
biodegradation.14  27.915  1.161  1.277
biodegradation.15  8.477  0.352  1.381
biodegradation.16  8.775  1.310  1.185
biodegradation.17  6.846  18.881  1.621
biodegradation.18  6.363  11.937  1.577
biodegradation.19  8.576  1.462  1.327
biodegradation.20  6.153  32.575  1.926
biodegradation.21  5.929  11.466  1.706
biodegradation.22  9.595  0.470  1.135
biodegradation.23  9.145  0.963  1.435
biodegradation.24  7.618  9.831  1.763
biodegradation.25  9.518  1.580  1.640
biodegradation.26  6.899  4.753  1.706
biodegradation.27  5.761  11.078  1.800
biodegradation.28  14.045  0.589  1.279
biodegradation.29  8.112  0.408  1.035
biodegradation.30  4.430  9.892  1.443
biodegradation.31  6.341  3.881  1.662
biodegradation.32  10.955  0.326  1.032
biodegradation.33  6.317  6.144  1.866
biodegradation.34  6.488  2.606  1.798
biodegradation.35  7.762  40.187  2.032
biodegradation.36  5.160  28.164  1.982
biodegradation.37  8.164  0.753  1.472
biodegradation.38  8.538  0.953  1.549
biodegradation.39  5.771  97.507  2.219
biodegradation.40  7.299  21.548  1.772
biodegradation.41  9.278  3.755  1.922
biodegradation.42  4.927  3.266  1.527
biodegradation.43  6.906  33.239  2.248
biodegradation.44  5.498  8.464  2.121
biodegradation.45  7.509  0.983  1.265
biodegradation.46  11.509  0.732  1.236
biodegradation.47  8.686  31.756  2.293
biodegradation.48  6.695  79.543  1.907
biodegradation.49  7.099  3.610  1.892
biodegradation.50  6.230  3.016  2.074
biodegradation.51  9.474  1.698  1.498
biodegradation.52  7.869  0.791  1.354
biodegradation.53  8.433  8.774  1.724
biodegradation.54  6.096  6.614  2.235
biodegradation.55  6.401  13.448  1.919
biodegradation.56  8.104  0.876  1.093
biodegradation.57  8.616  0.876  1.725
biodegradation.58  7.042  18.962  1.864
biodegradation.59  7.614  41.137  2.122
biodegradation.60  7.310  11.485  2.462
biodegradation.61  9.692  0.725  1.347
biodegradation.62  8.620  0.793  1.515
biodegradation.63  5.695  4.464  2.258
biodegradation.64  5.110  41.672  2.863
biodegradation.65  6.462  36.230  2.206
biodegradation.66  8.187  8.491  1.997
biodegradation.67  8.328  2.753  1.604
biodegradation.68  5.851  6.523  1.935
biodegradation.69  7.153  4.690  1.875
biodegradation.70  8.433  32.939  2.163
biodegradation.71  9.515  0.813  1.421
biodegradation.72  7.304  21.225  2.023
biodegradation.73  6.130  18.300  2.126
biodegradation.74  8.268  1.216  1.718
biodegradation.75  7.907  1.047  1.943
biodegradation.76  7.838  14.371  2.463
biodegradation.77  9.668  0.371  1.108
biodegradation.78  6.975  7.086  2.523
biodegradation.79  9.123  0.726  1.680
biodegradation.80  7.561  135.963  2.566
biodegradation.81  5.368  12.513  2.408
biodegradation.82  8.285  0.583  1.042
biodegradation.83  5.921  4.421  1.629
biodegradation.84  6.325  37.692  2.122
biodegradation.85  8.166  3.313  2.139
biodegradation.86  7.924  41.022  2.856
biodegradation.87  7.556  4.176  2.263
biodegradation.88  5.276  7.229  2.631
biodegradation.89  6.727  109.078  2.883
biodegradation.90  7.416  4.939  3.437
biodegradation.91  7.251  3.099  2.381
biodegradation.92  5.574  19.158  2.543
biodegradation.93  6.196  10.296  2.357
biodegradation.94  8.863  1.399  1.820
biodegradation.95  5.747  11.729  2.765
biodegradation.96  7.273  3.189  2.496
biodegradation.97  6.860  6.893  2.512
biodegradation.98  6.278  4.443  2.045
biodegradation.99  5.593  234.082  3.372
biodegradation.100  6.241  32.679  2.233
biodegradation.101  5.806  5.161  3.975
biodegradation.102  6.812  29.025  2.693
biodegradation.103  7.449  1.005  1.736
biodegradation.104  17.592  1.110  2.498
biodegradation.105  8.762  5.064  2.155
biodegradation.106  9.095  8.822  3.019
biodegradation.107  8.460  14.779  2.983
biodegradation.108  9.509  0.568  2.078
